Make,Model,Type,Year-of-manufacture,Mileage,Engine-Type,Power,Cubic-capacity,Cylinders,Cooling,Gears,Transmission,Curb-weight,Exterior-color,Price
Harley-Davidson,FXDWG Dyna Wide Glide,Chopper,1995,"10,000 km",Twin | 4 stroke | OHV,40/55,1337,2,Air,5,Belt,Not provided,Red,"10,743"
Norton,Commando 961 Cafe Racer,Cafe Racer,2011,1 mls,Twin | 4 stroke | OHV,59/80,961,2,Air,5,Chain,0.204,Black,"17,155"
Norton,Dominator SS,Cafe Racer,2018,"2,500 mls",Twin | 4 stroke | OHV,59/80,961,2,Oil-air,5,Chain,0.188,Black,"11,450"
Ducati,916 SPS,Sports Bike,1997,950 mls,V | 4-Takt | DOHC,99/134,996,2,water,6,Chain,0.21,Red,"19,996"
Ducati,1098 R,Racing Motorcycle,2008,"9,500 mls",V | 4-Takt | DOHC,132/180,1198,2,water,6,Chain,0.19,Red,"15,950"
Ducati,1199 R Panigale,Sports Bike,2013,"3,032 mls",V | 4-Takt | DOHC,143/195,1198,2,water,6,Chain,0.164,Red,"18,999"
Ducati,999R,Sports Bike,2005,500 mls,V | 4-Takt | DOHC,110/150,999,2,water,6,Chain,0.205,Red,"29,999"
Ducati,998,Sports Bike,2004,"7,466 mls",V | 4-Takt,90/123,998,2,water,6,Chain,0.198,Red,"20,000"
Ducati,Sport 1000 S,Racing Motorcycle,2009,"1,450 mls",Twin | 4 stroke | DOHC,68/92,992,2,Air,6,Chain,0.186,Red,"15,999"
Ducati,Panigale V4 RS,Racing Motorcycle,2018,1 mls,V | 4-Takt | DOHC,147/200,998,4,water,6,Chain,Not provided,Black,"36,995"
KTM,990 Adventure,Enduro/Scrambler,2010,"12,000 mls",V | 4-Takt,85/116,999,2,Air,6,Chain,0.214,Black,"7,999"
MV Agusta,Brutale 800 RR,Naked Bike,2020,1 mls,Twin | 4 stroke | DOHC,103/140,798,4,Oil-air,6,Chain,Not provided,Black,"10,999"
MV Agusta,F4 750 S Serie Oro,Racing Motorcycle,1999,"13,700 mls",Straight | 4-stroke | DOHC,93/126,750,4,water,6,Chain,0.2,Silver,"9,500"
Yamaha,YZF 1000 R1,Racing Motorcycle,1999,"16,900 mls",Straight | 4-stroke | DOHC,110/150,998,4,water,6,Chain,0.192,White,"6,500"
Yamaha,YZF 750 R7,Racing Motorcycle,2001,"7,000 mls",Straight | 4-stroke | DOHC,118/160,749,4,water,6,Chain,0.176,White,"47,500"
Ducati,1098 R,Racing Motorcycle,2009,"8,500 mls",V | 4-Takt | DOHC,132/180,1198,2,water,6,Chain,0.19,White,"25,000"
Ducati,1199 R Panigale,Sports Bike,2014,987 mls,V | 4-Takt | DOHC,143/195,1198,2,water,6,Chain,0.164,Orange,"48,999"
Ducati,999R,Sports Bike,2005,"7,000 mls",V | 4-Takt | DOHC,110/150,999,2,water,6,Chain,0.205,Red,"19,995"
Ducati,999R,Sports Bike,2004,"7,200 mls",V | 4-Takt | DOHC,110/150,999,2,water,6,Chain,0.205,Red,"24,000"
Ducati,999S,Racing Motorcycle,2005,"17,433 mls",Twin | 4 stroke | DOHC,100/136,999,2,Oil-air,6,Chain,0.186,Red,"8,500"
Norton,Dominator SS,Cafe Racer,2018,1 mls,Twin | 4 stroke | OHV,59/80,961,2,Oil-air,5,Chain,0.188,Grey,"52,950"
Moto Guzzi,Breva V 750 i.e.,Naked Bike,2004,"1,250 mls",V | 4 stroke | OHC,33/45,744,2,Air,6,Cardan,0.182,Red,"45,000"
Kawasaki,Ninja 1000 ZX-10RR,Sports Bike,2017,50 mls,4 stroke,147/200,998,4,Oil-air,6,Chain,0.206,Green,"22,000"
Yamaha,V-Max 1200,Touring Bike,1998,"14,799 km",Straight | 4-stroke | DOHC,75/102,1198,4,water,5,Cardan,0.27,Silver,"6,551"
Suzuki,VS 1400GL Intruder,Chopper,1998,"42,833 km",V | 4 stroke | OHC,45/61,1360,2,Oil-air,4,Cardan,0.243,Black,"5,240"
Yamaha,XVZ 1300 Royal Star,Chopper,2000,"79,200 km",V | 4-Takt | DOHC,55/75,1294,4,water,5,Cardan,0.34,Grey,"5,241"
Honda,VT 600C Shadow,Chopper,1999,"35,000 km",V | 4 stroke | OHC,30/41,583,2,water,5,Chain,0.207,Black,"4,193"
Ducati,Monster 750,Touring Bike,1998,"56,000 km",Twin | 4 stroke | SOHC,46/62,748,2,Air,5,Chain,0.22,Black,"3,319"
BMW,K 1200 RS,Racing Motorcycle,1997,"26,600 km",Straight | 4-stroke | DOHC,96/130,1172,4,water,6,Cardan,0.28,Blue,"3,057"
Honda,VT 600C Shadow,Chopper,1998,"13,200 km",V | 4 stroke | OHC,30/41,583,2,water,5,Chain,0.207,Blue,"3,057"
Yamaha,XVZ 1300 Royal Star,Chopper,1999,"69,000 km",V | 4-Takt | DOHC,55/75,1294,4,water,5,Cardan,0.34,Blue,"6,988"
Honda,XR 400 R,Enduro/Scrambler,1999,"30,000 km",4 stroke,26/35,397,1,Not provided,5,Chain,Not provided,White,"3,485"
Triumph,Legend TT,Touring Bike,2000,"48,879 km",Straight | 4-stroke | DOHC,51/69,885,3,water,5,Chain,0.23,Others,"4,542"
Yamaha,GTS 1000,Touring Bike,1995,"41,500 km",4 stroke,74/100,1003,4,water,5,Not provided,Not provided,Blue,"2,612"
Yamaha,YZF 1000 R1,Racing Motorcycle,1999,"79,530 km",Straight | 4-stroke | DOHC,110/150,998,4,water,6,Chain,0.192,Red,"3,232"
Yamaha,XVS 650 Drag Star,Chopper,1999,"36,000 km",V | 4 stroke | OHC,29/40,649,2,Air,5,Cardan,0.29,Black,"3,843"
Bimota,BB1 Supermono,Racing Motorcycle,1995,"15,000 km",4 stroke,35/48,625,1,water,5,Chain,0.145,Red,"10,394"
Honda,GL 1500 Gold Wing,Touring Bike,1995,"179,000 km",Boxer | 4-Takt | SOHC,72/98,1520,6,water,5,Cardan,0.39,Others,"7,424"
BMW,R 100 R,Touring Bike,1995,"28,500 km",Boxer | 4 stroke,44/60,980,2,Oil-air,5,Cardan,0.21,Others,"6,289"
Honda,CBR 900RR Fireblade,Sports Bike,1999,"31,800 km",Straight | 4-stroke | DOHC,96/130,919,4,water,6,Chain,0.204,Red,"4,193"
Suzuki,GSX 750 F,Touring Bike,1999,"48,700 km",Straight | 4-stroke | DOHC,68/93,750,4,Oil-air,6,Chain,0.23,Grey,"3,319"
BMW,R 1100 RS,Touring Bike,1999,"20,000 km",Boxer | 4 stroke | OHV,66/90,1085,2,Oil-air,5,Cardan,0.268,Blue,"3,307"
Aprilia,Pegaso 650,Enduro/Scrambler,1995,"40,394 km",4 stroke | DOHC,35/47,652,1,water,5,Chain,0.175,Silver,"2,620"
Yamaha,YZF 1000 R1,Racing Motorcycle,1999,"40,000 km",Straight | 4-stroke | DOHC,110/150,998,4,water,6,Chain,0.192,Others,"4,717"
Honda,CBR 1000F,Sports Bike,1999,84 km,4 stroke | DOHC,97/132,998,4,water,6,Chain,Not provided,Black,3
Aprilia,RSV 1000 Edwards,Sports Bike,2003,"43,000 km",4 stroke,98/133,997,2,Oil-air,6,Chain,Not provided,Black,"3,931"
BMW,R 1100 RS,Touring Bike,1997,"56,600 km",Boxer | 4 stroke | OHV,66/90,1085,2,Oil-air,5,Cardan,0.268,Blue,"3,931"
Ducati,996 SPS,Sports Bike,2000,"31,000 km",V | 4-Takt | DOHC,90/123,996,2,water,6,Chain,0.21,Red,"12,185"
BMW,R 1200 C,Cruiser,1999,"51,000 km",Boxer | 4 stroke,45/61,1170,2,Oil-air,5,Cardan,0.256,Black,"5,765"
BMW,R 1100 R,Touring Bike,1996,"43,870 km",Boxer | 4 stroke | OHV,57/78,1085,2,Oil-air,5,Cardan,0.235,Silver,"3,406"
Yamaha,XVS 650 Drag Star,Chopper,1997,"46,121 km",V | 4 stroke | OHC,29/40,649,2,Air,5,Cardan,0.29,Black,"3,275"
BMW,R 1100 RT,Enduro/Scrambler,1999,"46,500 km",Boxer | 4 stroke | OHV lengthways,66/90,1085,2,Oil-air,5,Not provided,0.256,Grey,"3,668"
Ducati,Monster 900 Cromo I.E.,Naked,2000,"19,840 km",4 stroke,57/78,900,2,Not provided,6,Chain,0.185,Blue,"2,882"
BMW,R 1100 S,Sports Bike,1999,"40,000 km",Boxer | 4 stroke | OHV,72/98,1085,2,Oil-air,5,Cardan,0.215,Red,"3,668"
Moto Guzzi,Nevada 750,Cruiser,1997,"53,000 km",V | 4-stroke | OHV,43/58,744,2,Air,5,Cardan,Not provided,White,"5,677"
Yamaha,XVZ 1300 Royal Star,Chopper,1998,"21,800 km",V | 4-Takt | DOHC,55/75,1294,4,water,5,Cardan,0.34,Black,"5,240"
Kawasaki,Ninja 750 ZX-7R,Sports Bike,1996,"42,200 km",4 stroke,82/112,748,4,Oil-air,6,Chain,Not provided,Green,"6,551"
Yamaha,XVS 650 Drag Star,Chopper,1997,"51,500 km",V | 4 stroke | OHC,29/40,649,2,Air,5,Cardan,0.29,Black,"3,057"
Harley-Davidson,FLSTF Fat Boy,Cruiser,2000,"40,000 km",V | 4-Takt,46/63,1449,2,Air,5,Belt,0.32,Black,"18,342"
Aprilia,RSV Mille,Racing Motorcycle,1999,Not provided,V | 4-Takt | DOHC,107/145 (Factory: 94/128),995,2,water,6,Chain,0.22,Black,"52,407"
Benelli,Tornado Tre 900,Sports Bike,2002,1 km,Straight | 4 stroke | OHV,104/141,898,3,water,6,Chain,0.198,Silver,"61,142"
Aprilia,RSV4 RR,Racing Motorcycle,2012,Not provided,V | 4-Takt | DOHC,169/230 (Factory: 148/201),990,Not provided,water,6,Chain,0.182,Orange,"30,571"
Ducati,916,Sports Bike,1997,"8,500 km",V | 4-Takt | DOHC,82/112,916,2,water,6,Chain,0.2,Red,"13,801"
BMW,R 1200 C,Cruiser,2001,"8,124 mls",Boxer | 4 stroke,45/61,1170,2,Oil-air,5,Cardan,0.256,Yellow,"7,424"
Kawasaki,ER-5,Touring Bike,1997,2 km,Twin | 4 stroke | DOHC,37/50,498,2,water,6,Chain,0.19,Red,"4,193"
Moto Guzzi,MGS-01 Corsa,Racing Motorcycle,2004,"1,811 km",V | 4-stroke | OHV,94/128,1225,2,Air,6,Cardan,0.179,Others,"40,179"
Piaggio,Vespa 946 125,Scooter,2015,747 km,4 stroke,9/12,125,1,Air,Not provided,unit swing,0.125,Others,"12,228"
MV Agusta,F4 1000 S,Racing Motorcycle,2005,"18,130 km",Straight | 4-stroke | DOHC,122/166,998,4,water,6,Chain,0.192,Others,"19,216"
Montesa,Cota 4RT 260,Enduro/Scrambler,2018,1 km,4 stroke,Not provided,259,1,Oil-air,Not provided,Not provided,Not provided,Others,"6,900"
BMW,R 850 GS,Enduro/Scrambler,1999,"67,120 km",Boxer | 4 stroke,54/73,848,2,Oil-air,5,Cardan,0.238,Others,"4,280"
Ducati,Panigale V4 R,Sports Bike,2019,1 km,V | 4-Takt | DOHC,163/221,955,4,water,6,Chain,Not provided,Others,"21,662"
Honda,CRF 250 R,Motocross,2018,1 km,4 stroke,29/40,249,1,Oil-air,Not provided,Not provided,Not provided,Others,"7,424"
Honda,CRF 450 R,Motocross,2018,1 km,4 stroke,Not provided,449,1,Oil-air,Not provided,Not provided,0.11,Others,"8,560"
Moto Guzzi,Daytona 1000,Sports Bike,1996,"19,010 km",V | 4-stroke | OHV,70/95,992,2,Air,5,Cardan,0.227,Others,"23,583"
Harley-Davidson,FXSTSB Bad Boy,Chopper,1995,"21,610 km",V | 4-stroke | OHV,43/58,1340,2,Air,5,Belt,0.281,Others,"21,836"
Harley-Davidson,FLSTCI Heritage Softail Classic,Bike/Sidecar combination,2006,1 km,Twin | 4 stroke | OHV,51/70,1450,2,Air,6,Belt,0.295,Others,"12,228"
Ducati,Desmosedici RR,Racing Motorcycle,2008,"1,689 km",V | 4-Takt | DOHC,138/188,990,4,water,6,Chain,Not provided,Others,"96,080"
BMW,R NineT Urban G/S,Naked Bike,2016,"27,138 km",Boxer | 4 stroke,81/110,1170,2,Oil-air,6,Chain,0.222,Others,"10,045"
Moto Guzzi,Daytona 1000,Sports Bike,1996,"24,480 km",V | 4-stroke | OHV,70/95,992,2,Air,5,Cardan,0.227,Others,"23,583"
Yamaha,YZF 750 R7,Racing Motorcycle,2001,"4,831 km",Straight | 4-stroke | DOHC,118/160,749,4,water,6,Chain,0.176,Others,"48,040"
KTM,990 Adventure,Enduro/Scrambler,2007,"117,643 km",V | 4-Takt,85/116,990,2,Air,6,Chain,0.214,Others,"5,677"
BMW,HP2 Sport,Sports Bike,2007,"62,472 km",Straight | 4-stroke | DOHC,98/133,1170,4,water,6,Cardan,0.248,Others,"13,102"
Yamaha,XJR 1300,Touring Bike,2001,"6,265 km",Straight | 4-stroke | DOHC,77/105,1300,4,Air,5,Chain,0.24,Others,"6,900"
Aprilia,MXV 450,Motocross,2007,1 km,4 stroke,Not provided,450,2,Oil-air,5,Chain,Not provided,Others,"15,547"
Honda,VFR 750R RC 30,Racing Motorcycle,1997,"8,005 km",V | 4-Takt | DOHC,88/120,750,4,water,6,Chain,0.236,Others,"13,014"
Bimota,500 V-Due,Sports Bike,1997,1 km,2 stroke,81/110,499,2,Oil-air,6,Chain,Not provided,Others,"56,774"
Ducati,916 R,Sports Bike,2000,1 km,V | 4-Takt | DOHC,82/112,748 (Factory: 916),2,water,6,Chain,0.2,Others,"8,735"
Ducati,916,Sports Bike,1997,"10,854 km",V | 4-Takt | DOHC,82/112,916,2,water,6,Chain,0.2,Others,"21,836"
BMW,R 850 GS,Enduro/Scrambler,1999,"106,066 km",Boxer | 4 stroke,54/73,850,2,Oil-air,5,Cardan,0.238,Others,"4,717"
Ducati,996 R,Sports Bike,2001,"35,680 km",V | 4-Takt | DOHC,99/135,996,2,water,6,Chain,0.2,Others,"33,191"
Ducati,Monster 1200 - 25Â° Anniversario,Sports Bike,2019,"1,891 km",4 stroke,108/147,1200,2,Oil-air,Not provided,Not provided,0.184,Others,"25,767"
BMW,K 1200 LT,Touring Bike,2002,"84,013 km",Straight | 4-stroke | DOHC,72/98,1200,4,water,5,Cardan,0.345,Others,"9,171"
Ducati,998,Sports Bike,1999,239 km,V | 4-Takt,90/123,998,2,water,Not provided,Not provided,0.198,Others,"20,089"
Ducati,1198 R Corse Special Edition,Racing Motorcycle,2010,1 km,V | 4-Takt | DOHC,132/180,1198,2,water,6,Chain,0.19,Others,"74,243"
Ducati,Desmosedici RR,Racing Motorcycle,2008,1 km,V | 4-Takt | DOHC,138/188,990,4,water,6,Chain,Not provided,Others,"104,814"
Ducati,999S,Racing Motorcycle,2005,"34,000 km",Twin | 4 stroke | DOHC,100/136,999,2,Oil-air,6,Chain,0.186,Others,"8,735"
Ducati,996 SPS,Sports Bike,1999,1 km,V | 4-Takt | DOHC,90/123,996,2,water,6,Chain,0.21,Others,"21,836"
Ducati,1098 R,Racing Motorcycle,2008,1 km,V | 4-Takt | DOHC,132/180,1098,2,water,6,Chain,0.19,Others,"21,836"
Ducati,1299 Panigale,Sportler/Supersportler,2017,180 km,4 stroke,145/197,1299,2,Oil-air,6,Chain,0.166,Others,"48,040"
MV Agusta,F4 100 CC,Racing Motorcycle,2009,189 km,Straight | 4-stroke | DOHC,147/200,1078,4,water,6,Chain,0.2,Others,"74,243"
Ducati,999R,Sports Bike,2003,"24,123 km",V | 4-Takt | DOHC,102/139,999,2,water,6,Chain,0.205,Others,"21,400"
Yamaha,YZF 600 R6,Racing Motorcycle,2005,"58,813 km",Straight | 4-stroke | DOHC,88/120,600,4,water,6,Chain,0.197,Others,"5,241"
Piaggio,Vespa 50 S,Scooter,1996,3 km,2 stroke,2/3,50,1,Air,4,unit swing,0.07,Others,"19,216"
